Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Organization Website,Organization Location,Organization Industries,Lead Investors,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Bench,https://www.crunchbase.com/funding_round/bench-series-b--5759932d,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",Inovia Capital,Series B,23000000,USD,23000000,2018-02-01
Series B - Bench,https://www.crunchbase.com/funding_round/bench-series-b--81aa9f47,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",Bain Capital Ventures,Series B,16000000,USD,16000000,2016-05-03
Series A - Bench,https://www.crunchbase.com/funding_round/bench-series-a--b7117767,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",Altos Ventures,Series A,7000000,USD,7000000,2015-01-29
Series A - Bench,https://www.crunchbase.com/funding_round/bench-series-a--f1bf368d,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",,Series A,,,,2014-09-08
Venture Round - Bench,https://www.crunchbase.com/funding_round/bench-series-unknown--7466625a,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",,Venture - Series Unknown,1000000,USD,1000000,2014-01-30
Seed Round - Bench,https://www.crunchbase.com/funding_round/bench-seed--881c2e43,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",,Seed,2000000,USD,2000000,2013-07-16
Convertible Note - Bench,https://www.crunchbase.com/funding_round/bench-convertible-note--0e201a53,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",,Convertible Note,100000,USD,100000,2012-03-01
Seed Round - Bench,https://www.crunchbase.com/funding_round/bench-seed--a608fd1d,Bench,https://www.crunchbase.com/organization/bench,http://bench.co,"Vancouver, British Columbia, Canada, North America","Accounting, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",,Seed,,,,2012-03-01
